,title,url,duration,add_date
0,"""Fallen Kingdom"" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video)",https://www.youtube.com/watch?v=I-sH53vXP2A,,
1,"""Revenge"" - A Minecraft Parody of Usher's DJ Got Us Fallin' In Love (Music Video)",https://www.youtube.com/watch?v=cPJUBQd-PNM,,
2,5 Second Video: Watch the Milky Way Rise,https://www.youtube.com/watch?v=QC8iQqtG0hg,00:00:07,2023-04-19 12:53:37.293304
3,Attack on Titan - 'So ist es immer' with Lyrics,https://www.youtube.com/watch?v=_jqSy8E9JLQ&pp=ygUOYW90IGxldnkgdGhlbWU%3D,00:04:49,2023-04-04 17:31:31.711581
4,Attack on Titan Season 2 OST - Counterattack Mankind (Sasha version) Original full clean HQ,https://www.youtube.com/watch?v=6v9IwQ09WAw,00:03:40,2023-04-20 15:41:34.009797
5,Attack on Titan: Counter Attack Mankind (Different version),https://www.youtube.com/watch?v=ikmBtnYCvaA,,
6,Bergendy: JÖJJ VISSZA VÁNDOR,https://www.youtube.com/watch?v=fWh6J5Tg274,,
7,Bioshock Infinite Music - Everybody Wants to Rule the World (1985) by Tears For Fears,https://www.youtube.com/watch?v=CAA_zE5a3JQ,02:32,2023-05-12 17:33:40.139420
8,"Bioshock Infinite Music - Girls Just Want to Have Fun (1983) by Robert Hazard, Cyndi Lauper",https://www.youtube.com/watch?v=mQheaCpjH0I,01:49,2023-05-12 18:22:06.219979
9,Black Sabbath ~ War Pigs,https://www.youtube.com/watch?v=LQUXuQ6Zd9w,,
10,Bob Dylan - Knockin' On Heaven's Door (Official Audio),https://www.youtube.com/watch?v=rm9coqlk8fY,00:02:31,
11,Bob Dylan - The Times They Are A-Changin' (Official Audio),https://www.youtube.com/watch?v=90WD_ats6eE,,
12,Boku no Hero Academia OST #03: My Hero Academia Main Theme,https://www.youtube.com/watch?v=4jIXcSxBP7U,,
13,Brazil - Geoff & Maria Muldaur,https://www.youtube.com/watch?v=9HtHEgINHO0,03:27,2023-05-16 14:38:43.175979
14,Brother Bear - Welcome to our family (HD),https://www.youtube.com/watch?v=2Q46aER0758,04:23,2023-05-16 18:53:08.910091
15,C418 - Aria Math (Minecraft Volume Beta),https://www.youtube.com/watch?v=atgjKEgSqSU,00:05:09,2023-03-06 13:51:36.224680
16,Chainsaw Man ED3 ||Maximum the Hormone - Hawatari 2-Oku Centi|| Sub Español + Romaji,https://www.youtube.com/watch?v=I9Wi37X04b8,02:03,2023-05-12 14:03:20.818211
17,CONFEDERATE SONG ~ THE IRISH BRIGADE,https://www.youtube.com/watch?v=-ot7amDyqbY,,
18,CYBERPUNK 2077 SOUNDTRACK - I REALLY WANT TO STAY AT YOUR HOUSE by Rosa Walton & Hallie Coggins,https://www.youtube.com/watch?v=gzbLODUb1sA,00:04:07,
